score,content,at
5,ok,2025-12-02 16:08:30
5,great,2025-12-02 16:06:30
1,I would have given less stars but one star is least I can give here so I'm going with that. It stops working on larger data sets. it take some much time to load when you put large data. it good for CUTE work like but if you want to build serious data library than I go for Google Docs,2025-12-02 15:17:49
5,A very wonderful tool,2025-12-02 14:55:50
1,if exporting all the documents at once was free it would be better,2025-12-02 10:24:20
3,"A good for Daily life-to do list and journaling,Notion can build Business plan so cool,",2025-12-02 07:58:06
5,Keren banget Notion!,2025-12-02 07:18:31
5,"I use Notion mainly to write my pilates class & clients programs, easy to use and navigate especially with the help from AI. Now learning to use it for my daily life.",2025-12-02 05:27:06
5,"IS THIS THE NEW UPDATE? I'm Persian so i also write persian in my notes. if you know, Persian starts and reads from right fo left unlike latin and it wasn't supported by notion but i checked the app and it's supported now??? it writes Persian from right, English words doesn't affect it too. is it from the updates or it's not new and i just didn't had it for some reason? whatever it is, i love it. no more strating from left",2025-12-02 02:05:29
1,"Buggy, the UX is bad. You talk about your AI, but can't organize your own app after so many years. It's ridiculous.",2025-12-01 23:17:18
2,"Unusable on mobile. - Can't browse templates - Templates that load, load extremely slowly - Can't close the keyboard, it goes back instead - Random notes keep appearing and disappearing",2025-12-01 19:00:31
2,app is so slow on my device.,2025-12-01 18:16:21
5,Notion was love at first sight 💕,2025-12-01 15:16:08
5,Very Nice Apps 🥰,2025-12-01 14:00:23
5,having a lot of fun organizing my life and goals with databases,2025-12-01 13:52:11
4,NOTION AI BUSINESS OR PLUS PLAN AVAILABLE IN CHEAP 8/10 $,2025-12-01 11:45:01
4,Notion has really improved my work flow the todo list has been very impactful,2025-12-01 09:18:32
2,"I love Notion and I use the app for everything on my laptop, but the Android app is horrible. There’s a big delay in everything — opening pages, loading databases… Android users deserve a better, more optimized app so we can keep working without relying on a laptop.",2025-11-30 19:22:10
5,great app,2025-11-30 18:36:22
5,thank you give up,2025-11-30 14:46:56
